Job Title,Job Description,link,price,combined
B2C Data Scraping Specialist for Queens,"I'm seeking a skilled data scraper to gather B2C phone numbers from specific ZIP codes in Queens, New York. The target demographic is aged 23–55 years. The final dataset should include: - Phone number - Name - Email (if available) - Age/DOB - Address (if possible) The data should be delivered in CSV format. Ideal Skills and Experience: - Expertise in scraping public records - Familiarity with age filtering in data scraping - Ability to provide a substantial number of leads per ZIP code - Efficient turnaround time - Previous samples of similar work Please include details on your data sources, age filtering capabilities, expected leads per ZIP code, turnaround time, and if you can provide a sample with your bids.",https://www.peopleperhour.com/freelance-jobs/technology-programming/databases/b2c-data-scraping-specialist-for-queens-4387774,$500,"b2c data scraping specialist for queens i'm seeking a skilled data scraper to gather b2c phone numbers from specific zip codes in queens, new york. the target demographic is aged 23–55 years. the final dataset should include: - phone number - name - email (if available) - age/dob - address (if possible) the data should be delivered in csv format. ideal skills and experience: - expertise in scraping public records - familiarity with age filtering in data scraping - ability to provide a substantial number of leads per zip code - efficient turnaround time - previous samples of similar work please include details on your data sources, age filtering capabilities, expected leads per zip code, turnaround time, and if you can provide a sample with your bids."
Google Sheet Dashboard Creation,I am looking for someone to build a dashboard on Google Sheets that is capable of integrating with and data scraping from Companies House and HMRC's website I have attached a brief of the project so would welcome answers and proof of workings around that and suggestions for implementation,https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/google-sheet-dashboard-creation-4388540,$451,google sheet dashboard creation i am looking for someone to build a dashboard on google sheets that is capable of integrating with and data scraping from companies house and hmrc's website i have attached a brief of the project so would welcome answers and proof of workings around that and suggestions for implementation
Looking for candidates who knows some basic web skills,"Hi, everyone. I am looking for someone who helps us regarding our business related to the software development. We need to have our communications with English so candidates must be fluent in English verbal and writing. And they need to know about some web basic skills such as react, python and so on. If you don't satisfied with these conditions, don't apply. I am looking for someone whose hourly rate is 20-30$ also. Hope I find the best one asap. Thanks.",https://www.peopleperhour.com/freelance-jobs/technology-programming/website-development/looking-for-candidates-who-knows-some-basic-web-skills-4388797,$27/hr,"looking for candidates who knows some basic web skills hi, everyone. i am looking for someone who helps us regarding our business related to the software development. we need to have our communications with english so candidates must be fluent in english verbal and writing. and they need to know about some web basic skills such as react, python and so on. if you don't satisfied with these conditions, don't apply. i am looking for someone whose hourly rate is 20-30$ also. hope i find the best one asap. thanks."
Senior Full-Stack Developer for Ongoing Web Project,"We are looking for a highly skilled and experienced Senior Developer to join our project and help take it to the next level. You will work closely with our team to build, improve, and maintain a web-based platform with advanced functionality and a strong emphasis on performance, scalability, and clean code architecture. We’re building a powerful and user-friendly [insert project type – e.g., SaaS platform, fintech app, crypto dashboard, etc.], and we need a reliable senior developer who can jump in, understand the existing architecture, and contribute to both backend and frontend development. Project Details:",https://www.peopleperhour.com/freelance-jobs/technology-programming/website-development/senior-full-stack-developer-for-ongoing-web-project-4392177,$1.4K,"senior full-stack developer for ongoing web project we are looking for a highly skilled and experienced senior developer to join our project and help take it to the next level. you will work closely with our team to build, improve, and maintain a web-based platform with advanced functionality and a strong emphasis on performance, scalability, and clean code architecture. we’re building a powerful and user-friendly [insert project type – e.g., saas platform, fintech app, crypto dashboard, etc.], and we need a reliable senior developer who can jump in, understand the existing architecture, and contribute to both backend and frontend development. project details:"
"HTML, CSS, React using TypeScript","We are a Cloud software services and consulting company with clients located world-wide. We are hiring React/HTML5 Engineers to develop a React web application using TypeScript. We are looking for developers who excel at vanilla HTML development without using traditional Javascript frameworks. Automated Testing using Playwright will be forefront in all coding. The majority of our services are provided remotely. You will be given the opportunity to work from home, with minimal in-person meetings. We use a combination of a strong software lifecycle, automated build pipelines with integration tests, and, in some cases, continuous delivery of software. Our employees require discipline, excellent communication, and a passion for technology and problem solving. Basic Qualifications * Minimum of 5+ years of HTML5/CSS development experience * Minimum of 5+ years of React * Proven experience using version control patterns using Git Preferred Qualifications * Experience with Agile development lifecycle including Atlassian JIRA, Confluence, and/or BitBucket * Experience with automated testing using Selenium or Playwright Professional Skill Requirements * Success in contributing to an international, team-oriented environment * Ability to work remotely using Agile software practices and tools * Ability to work creatively and analytically in a problem-solving environment * Excellent communication (written and oral) and interpersonal skills",https://www.peopleperhour.com/freelance-jobs/technology-programming/website-development/html-css-react-using-typescript-4393680,$36/hr,"html, css, react using typescript we are a cloud software services and consulting company with clients located world-wide. we are hiring react/html5 engineers to develop a react web application using typescript. we are looking for developers who excel at vanilla html development without using traditional javascript frameworks. automated testing using playwright will be forefront in all coding. the majority of our services are provided remotely. you will be given the opportunity to work from home, with minimal in-person meetings. we use a combination of a strong software lifecycle, automated build pipelines with integration tests, and, in some cases, continuous delivery of software. our employees require discipline, excellent communication, and a passion for technology and problem solving. basic qualifications * minimum of 5+ years of html5/css development experience * minimum of 5+ years of react * proven experience using version control patterns using git preferred qualifications * experience with agile development lifecycle including atlassian jira, confluence, and/or bitbucket * experience with automated testing using selenium or playwright professional skill requirements * success in contributing to an international, team-oriented environment * ability to work remotely using agile software practices and tools * ability to work creatively and analytically in a problem-solving environment * excellent communication (written and oral) and interpersonal skills"
Web scraping tool,"I am seeking development of an automated web data extraction application. The tool should programmatically access specific websites, gather contact email addresses embedded within pages, and compile the addresses into a single downloadable file. Rather than manual browsing and copying, the application will retrieve email addresses directly from backend code through simulation of usual page loading. It should seamlessly navigate sites, interpret HTML/JavaScript to find contact strings in a specified format, and organize the yields into a clean spreadsheet format. User-interface for configuration and output should be intuitive and minimal. Primary objectives include contact harvesting from numerous pages in an expedited unobtrusive manner and segmentation of the compiled addresses for simplified import into email marketing services. Experience with web scraping libraries such as Selenium, BeautifulSoup or Scrapy would be beneficial. Proficiency in Python is required for this project.",https://www.peopleperhour.com/freelance-jobs/technology-programming/data-science-analysis/web-scraping-tool-4382888,$449,"web scraping tool i am seeking development of an automated web data extraction application. the tool should programmatically access specific websites, gather contact email addresses embedded within pages, and compile the addresses into a single downloadable file. rather than manual browsing and copying, the application will retrieve email addresses directly from backend code through simulation of usual page loading. it should seamlessly navigate sites, interpret html/javascript to find contact strings in a specified format, and organize the yields into a clean spreadsheet format. user-interface for configuration and output should be intuitive and minimal. primary objectives include contact harvesting from numerous pages in an expedited unobtrusive manner and segmentation of the compiled addresses for simplified import into email marketing services. experience with web scraping libraries such as selenium, beautifulsoup or scrapy would be beneficial. proficiency in python is required for this project."
Python bot,"“Looking for someone to develop a powerful, high-performance Python shell bot called ‘Thunder’—named for its speed and strength.”",https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/python-bot-4393669,$60,"python bot “looking for someone to develop a powerful, high-performance python shell bot called ‘thunder’—named for its speed and strength.”"
Long term support for custom Python code,"I’m seeking a developer partner to provide Long-Term Support (LTS) for my existing Python code that utilizes pandas for data manipulation. The code currently runs on Windows. This code runs 2-3 times a month, only in the first week of the month. Key Requirements: - Long-term support including troubleshooting and updates (2-4 years). - I require an SLA contract. Corrections to code are time critical and shall be addressed within 24 hours. Ideal Skills: - A small to mid-sized company with at least 50 relevant employees. Support should be available in all cases. Time zone is Asia/Europe. - Expertise in Python and pandas. - Experience with finance (accounting) related projects - Strong problem-solving skills. - Availability for ongoing support is a must. Please only bid if you have a proven track record in Python development and are committed to long-term engagement.",https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/long-term-support-for-custom-python-code-4387198,$100/hr,"long term support for custom python code i’m seeking a developer partner to provide long-term support (lts) for my existing python code that utilizes pandas for data manipulation. the code currently runs on windows. this code runs 2-3 times a month, only in the first week of the month. key requirements: - long-term support including troubleshooting and updates (2-4 years). - i require an sla contract. corrections to code are time critical and shall be addressed within 24 hours. ideal skills: - a small to mid-sized company with at least 50 relevant employees. support should be available in all cases. time zone is asia/europe. - expertise in python and pandas. - experience with finance (accounting) related projects - strong problem-solving skills. - availability for ongoing support is a must. please only bid if you have a proven track record in python development and are committed to long-term engagement."
"Python, mysql and react for a small project i started","The project involves developing a small web application using Python, MySQL, and React for a specific purpose. The project is currently in its initial stages, and the freelancer is seeking assistance in completing it. The ideal candidate should have a strong understanding of Python, MySQL, and React, as well as proficiency in German and English. The freelancer should be able to work independently and communicate effectively.",https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/python-mysql-and-react-for-a-small-project-i-started-4385968,$58,"python, mysql and react for a small project i started the project involves developing a small web application using python, mysql, and react for a specific purpose. the project is currently in its initial stages, and the freelancer is seeking assistance in completing it. the ideal candidate should have a strong understanding of python, mysql, and react, as well as proficiency in german and english. the freelancer should be able to work independently and communicate effectively."
Looking for candidates who knows some basic web skills,"Hi, everyone. I am looking for someone who helps us regarding our business related to the software development. We need to have our communications with English so candidates must be fluent in English verbal and writing. And they need to know about some web basic skills such as react, python and so on. If you don't satisfied with these conditions, don't apply. I am looking for someone whose hourly rate is 20-30$ also. Hope I find the best one asap. Thanks.",https://www.peopleperhour.com/freelance-jobs/technology-programming/website-development/looking-for-candidates-who-knows-some-basic-web-skills-4388797,$27/hr,"looking for candidates who knows some basic web skills hi, everyone. i am looking for someone who helps us regarding our business related to the software development. we need to have our communications with english so candidates must be fluent in english verbal and writing. and they need to know about some web basic skills such as react, python and so on. if you don't satisfied with these conditions, don't apply. i am looking for someone whose hourly rate is 20-30$ also. hope i find the best one asap. thanks."
Convert notebook code to one python function,"Hi, I have working python notebook with around 180 lines of python code and the requirement is to convert it into once executable function as all the working code is available, so at the end, I should have 3 buttons and be able to : 1. 2 buttons to upload 2 separate files - available in 1st bock of code 2. 1 button to run analysis - need a button to click analysis which returns the two set of crosstabs - available in the code Thanks",https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/convert-notebook-code-to-one-python-function-4383364,$10,"convert notebook code to one python function hi, i have working python notebook with around 180 lines of python code and the requirement is to convert it into once executable function as all the working code is available, so at the end, i should have 3 buttons and be able to : 1. 2 buttons to upload 2 separate files - available in 1st bock of code 2. 1 button to run analysis - need a button to click analysis which returns the two set of crosstabs - available in the code thanks"
REFLEX -Zero-Knowledge Architecture Implementation,"DO NOT APPLY IF YOU DONT HAVE RELEX AND SECUITY EXPERIENCE We are seeking a skilled developer to implement a zero-knowledge architecture in our existing Python-based web application built with Reflex. The application currently handles user data, company information, and contact entries, and requires enhanced privacy and security through zero-knowledge principles. ____________________________________________________________________________________ Current System Architecture The application currently uses: Reflex framework for web development SQLModel/SQLAlchemy for database operations Local authentication system Models for UserInfo, AdminUser, CompanyData, and ContactEntry ___________________________________________________________________________________ Technical Requirements Required Skills Strong experience with zero-knowledge protocols and cryptography Proficiency in Python and modern web frameworks Experience with SQL databases and ORMs Understanding of secure key management Knowledge of end-to-end encryption implementation Specific Technologies Zero-knowledge proof systems (e.g., zk-SNARKs or zk-STARKs) Modern encryption libraries Secure key management solutions Database encryption tools Deliverables Detailed technical design document Implementation of zero-knowledge architecture Updated database schema with encryption support Secure API endpoints Documentation for: System architecture Security protocols Key management User guide for encrypted operations",https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/reflex-zero-knowledge-architecture-implementation-4388727,$476,"reflex -zero-knowledge architecture implementation do not apply if you dont have relex and secuity experience we are seeking a skilled developer to implement a zero-knowledge architecture in our existing python-based web application built with reflex. the application currently handles user data, company information, and contact entries, and requires enhanced privacy and security through zero-knowledge principles. ____________________________________________________________________________________ current system architecture the application currently uses: reflex framework for web development sqlmodel/sqlalchemy for database operations local authentication system models for userinfo, adminuser, companydata, and contactentry ___________________________________________________________________________________ technical requirements required skills strong experience with zero-knowledge protocols and cryptography proficiency in python and modern web frameworks experience with sql databases and orms understanding of secure key management knowledge of end-to-end encryption implementation specific technologies zero-knowledge proof systems (e.g., zk-snarks or zk-starks) modern encryption libraries secure key management solutions database encryption tools deliverables detailed technical design document implementation of zero-knowledge architecture updated database schema with encryption support secure api endpoints documentation for: system architecture security protocols key management user guide for encrypted operations"
I am looking for a Full Stack Developer.,"The project involves creating a bot that analyzes user data to provide personalized recommendations and insights. The bot will integrate with various systems and APIs to gather and process data, and will use machine learning algorithms to analyze the data and generate insights. The project requires strong skills in Full Stack Development, including knowledge of Python, Django, and React. The bot will be deployed on a cloud platform and will require ongoing maintenance and support. The project has a tight deadline, and the successful freelancer will need to be able to work quickly and efficiently to meet the requirements.",https://www.peopleperhour.com/freelance-jobs/technology-programming/data-science-analysis/i-am-looking-for-a-full-stack-developer-4388871,$25/hr,"i am looking for a full stack developer. the project involves creating a bot that analyzes user data to provide personalized recommendations and insights. the bot will integrate with various systems and apis to gather and process data, and will use machine learning algorithms to analyze the data and generate insights. the project requires strong skills in full stack development, including knowledge of python, django, and react. the bot will be deployed on a cloud platform and will require ongoing maintenance and support. the project has a tight deadline, and the successful freelancer will need to be able to work quickly and efficiently to meet the requirements."
NEED HELP WITH PHYTHON BASED PROJECT,"I am working on Python based project to use image processing for defect analysis of steel sheets and strips. I have the coding part of the project and want your help with the validation, training and execution part. let me know if you can help me with this. We can have a small zoom meeting in order to better understand the project requirements and finalise the rates and time.",https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/need-help-with-phython-based-project-4383985,$10,"need help with phython based project i am working on python based project to use image processing for defect analysis of steel sheets and strips. i have the coding part of the project and want your help with the validation, training and execution part. let me know if you can help me with this. we can have a small zoom meeting in order to better understand the project requirements and finalise the rates and time."
Full-Stack Developer for AI-Powered File Conversion Web App,"Description: I am looking for a skilled developer to build a web-based image tool that uses AI to remove backgrounds and allows users to convert image formats (like JPG to PNG, WebP, etc.). I already have the HTML front-end designed — your role is to integrate it with a backend that includes AI-powered features. Core Features Needed: AI background remover (using rembg or similar deep learning tools) Image format converter (e.g., JPG ↔ PNG) Upload and download functionality Clean, responsive user interface (connect to my existing HTML) Preferred Tech Stack: Backend: Python (FastAPI or Flask) AI Tools: rembg or other AI-based background removal models Image Libraries: Pillow, OpenCV (if needed) Hosting Knowledge: Deployable on Render, Railway, or VPS Bonus (Optional): User login + file history Ability to add watermark or compress image Chat assistant for basic support (OpenAI API) Requirements: Experience working with AI image tools Ability to integrate AI with a user-friendly frontend Fast delivery and budget-friendly rates Budget: Small/startup budget (please quote your best price) Timeline: 1–2 weeks max Deliverables: Full working project with source co",https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/full-stack-developer-for-ai-powered-file-conversion-web-app-4394148,$69,"full-stack developer for ai-powered file conversion web app description: i am looking for a skilled developer to build a web-based image tool that uses ai to remove backgrounds and allows users to convert image formats (like jpg to png, webp, etc.). i already have the html front-end designed — your role is to integrate it with a backend that includes ai-powered features. core features needed: ai background remover (using rembg or similar deep learning tools) image format converter (e.g., jpg ↔ png) upload and download functionality clean, responsive user interface (connect to my existing html) preferred tech stack: backend: python (fastapi or flask) ai tools: rembg or other ai-based background removal models image libraries: pillow, opencv (if needed) hosting knowledge: deployable on render, railway, or vps bonus (optional): user login + file history ability to add watermark or compress image chat assistant for basic support (openai api) requirements: experience working with ai image tools ability to integrate ai with a user-friendly frontend fast delivery and budget-friendly rates budget: small/startup budget (please quote your best price) timeline: 1–2 weeks max deliverables: full working project with source co"
